Timp,Unghi_SubAmortizat,Viteza_SubAmortizat
0.9903301100366788,-0.3719813650492852,-1.3727049108229776
1.0003334444814937,-0.385615915184246,-1.353195904125806
1.0103367789263087,-0.39905232057375156,-1.3330913173240062
1.0203401133711236,-0.4122846889939296,-1.3124042384131374
1.0303434478159386,-0.425307259610669,-1.2911479717002483
1.0403467822607535,-0.4381144058639874,-1.2693359931185089
1.0503501167055684,-0.45070063686595907,-1.2469819366844417
1.0603534511503834,-0.46306059890325585,-1.2240995774911545
1.0703567855951983,-0.4751890767684967,-1.200702830317225
1.0803601200400132,-0.48708099485511247,-1.1768057085935366
1.0903634544848282,-0.49873141807068455,-1.152422310059878
1.1003667889296431,-0.5101355526125719,-1.1275668008425175
1.110370123374458,-0.521288747310115,-1.102253414797869
1.120373457819273,-0.5321864933518531,-1.076496422664079
